mouse_genes	HGNC.symbol
0610010F05Rik	KIAA1841
0610010K14Rik	C17orf49
0610010K14Rik	RNASEK-C17orf49
0610012G03Rik	NCBP2AS2
0610030E20Rik	C2orf68
0610040J01Rik	C4orf19
1110004F10Rik	C11orf58
1110008L16Rik	KIAA0391
1110008P14Rik	C9orf16
1110012L19Rik	CXorf40B
1110012L19Rik	CXorf40A
1110032A03Rik	C11orf1
1110032F04Rik	C3orf80
1110038F14Rik	C8orf33
1110051M20Rik	C11orf49
1110059E24Rik	C9orf85
1110059G10Rik	KIAA1143
1110065P20Rik	C1orf122
1190005I06Rik	C16orf74
1190007I07Rik	C12orf73
1500009L16Rik	C12orf75
1600002K03Rik	C19orf24
1600012H06Rik	C6orf120
1600014C10Rik	C19orf12
1700001O22Rik	C9orf50
1700008O03Rik	C19orf81
1700010I14Rik	C6orf118
1700012B09Rik	C11orf97
1700017B05Rik	C15orf39
1700019D03Rik	C2orf88
1700020L24Rik	C17orf50
1700021F05Rik	C6orf203
1700022I11Rik	C9orf131
1700025G04Rik	C1orf21
1700028K03Rik	C1orf146
1700029I15Rik	C11orf94
1700029J07Rik	C4orf47
1700030J22Rik	C16orf46
1700030K09Rik	C19orf44
1700037C18Rik	C16orf90
1700037H04Rik	C20orf27
1700047I17Rik2	FAM177A1
1700066B19Rik	SMIM33
1700066M21Rik	C2orf69
1700067K01Rik	C19orf67
1700088E04Rik	C22orf23
1700092M07Rik	TEX54
1700102P08Rik	C3orf62
1700123O20Rik	C14orf119
1810009A15Rik	C11orf98
1810010H24Rik	C17orf58
1810013L24Rik	C16orf72
1810022K09Rik	RBIS
1810030O07Rik	CXorf38
1810037I17Rik	C4orf3
1810043G02Rik	CFAP410
1810046K07Rik	C11orf53
1810055G02Rik	C11orf24
2010300C02Rik	KIAA1211L
2200002D01Rik	C19orf33
2210016F16Rik	C9orf64
2210016L21Rik	C12orf43
2300009A05Rik	C15orf61
2310009B15Rik	C1orf53
2310011J03Rik	C19orf25
2310022A10Rik	C19orf47
2310022B05Rik	C1orf198
2310033P09Rik	C1orf35
2310034G01Rik	C10orf95
2310039H08Rik	C6orf226
2310057M21Rik	C10orf88
2310061I04Rik	C6orf136
2410004B18Rik	C1orf52
2410131K14Rik	C12orf49
2510002D24Rik	C22orf39
2510009E07Rik	C3orf70
